filter_threshold,width_confidence,depth_confidence,matched_points,left_keypoints,right_keypoints,match_time_ms
0.3,0.5,-1,237,329,323,125.5
0.3,0.5,0.5,245,329,323,27.6
0.3,0.5,0.8,245,329,323,44.1
0.3,0.5,0.9,245,329,323,41.8
0.3,0.5,0.95,245,329,323,41.9
0.3,0.5,0.99,248,329,323,55.9
0.3,0.8,-1,239,329,323,124.9
0.3,0.8,0.5,247,329,323,28.6
0.3,0.8,0.8,250,329,323,45.5
0.3,0.8,0.9,250,329,323,43.9
0.3,0.8,0.95,250,329,323,44.2
0.3,0.8,0.99,250,329,323,59.6
0.3,0.9,-1,239,329,323,129.1
0.3,0.9,0.5,247,329,323,30.1
0.3,0.9,0.8,249,329,323,45.0
0.3,0.9,0.9,249,329,323,45.3
0.3,0.9,0.95,249,329,323,49.7
0.3,0.9,0.99,249,329,323,60.7
0.3,0.95,-1,240,329,323,130.9
0.3,0.95,0.5,247,329,323,30.6
0.3,0.95,0.8,250,329,323,62.2
0.3,0.95,0.9,250,329,323,47.5
0.3,0.95,0.95,250,329,323,47.2
0.3,0.95,0.99,249,329,323,59.8
0.3,0.99,-1,240,329,323,134.2
0.3,0.99,0.5,247,329,323,29.8
0.3,0.99,0.8,249,329,323,44.9
0.3,0.99,0.9,249,329,323,44.7
0.3,0.99,0.95,249,329,323,45.9
0.3,0.99,0.99,249,329,323,60.4
0.4,-1,-1,241,329,323,149.8
0.4,-1,0.5,241,329,323,29.8
0.4,-1,0.8,245,329,323,46.3
0.4,-1,0.9,245,329,323,46.8
0.4,-1,0.95,245,329,323,50.8
0.4,-1,0.99,249,329,323,64.4
0.4,0.5,-1,237,329,323,129.3
0.4,0.5,0.5,239,329,323,29.9
0.4,0.5,0.8,243,329,323,43.4
0.4,0.5,0.9,243,329,323,43.3
0.4,0.5,0.95,243,329,323,47.7
0.4,0.5,0.99,245,329,323,55.3
0.4,0.8,-1,238,329,323,124.8
0.4,0.8,0.5,241,329,323,28.7
0.4,0.8,0.8,245,329,323,45.5
0.4,0.8,0.9,245,329,323,45.8
0.4,0.8,0.95,245,329,323,45.4
0.4,0.8,0.99,248,329,323,58.5
0.4,0.9,-1,237,329,323,136.8
0.4,0.9,0.5,241,329,323,29.7
0.4,0.9,0.8,246,329,323,46.7
0.4,0.9,0.9,246,329,323,46.6
0.4,0.9,0.95,246,329,323,45.4
0.4,0.9,0.99,248,329,323,59.0
0.4,0.95,-1,237,329,323,132.5
0.4,0.95,0.5,241,329,323,31.3
0.4,0.95,0.8,245,329,323,45.3
0.4,0.95,0.9,245,329,323,45.0
0.4,0.95,0.95,245,329,323,43.9
0.4,0.95,0.99,248,329,323,57.9
0.4,0.99,-1,238,329,323,135.6
0.4,0.99,0.5,241,329,323,31.7
0.4,0.99,0.8,245,329,323,46.3
0.4,0.99,0.9,245,329,323,46.1
0.4,0.99,0.95,245,329,323,47.5
0.4,0.99,0.99,248,329,323,60.4
