filter_threshold,width_confidence,depth_confidence,matched_points,possible_pairs,left_keypoints,right_keypoints,match_ratio_pct,match_time_ms
0.15,0.8,0.8,831,1320,1320,1351,62.95,452.3
0.15,0.8,0.9,818,1320,1320,1351,61.97,562.0
0.15,0.8,0.95,818,1320,1320,1351,61.97,542.9
0.15,0.8,0.99,821,1320,1320,1351,62.2,636.5
0.15,0.9,-1,772,1320,1320,1351,58.48,946.6
0.15,0.9,0.5,846,1320,1320,1351,64.09,275.4
0.15,0.9,0.8,836,1320,1320,1351,63.33,510.4
0.15,0.9,0.9,826,1320,1320,1351,62.58,618.4
0.15,0.9,0.95,826,1320,1320,1351,62.58,603.4
0.15,0.9,0.99,836,1320,1320,1351,63.33,702.9
0.15,0.95,-1,779,1320,1320,1351,59.02,1028.4
0.15,0.95,0.5,846,1320,1320,1351,64.09,227.7
0.15,0.95,0.8,838,1320,1320,1351,63.48,508.3
0.15,0.95,0.9,830,1320,1320,1351,62.88,635.0
0.15,0.95,0.95,830,1320,1320,1351,62.88,636.5
0.15,0.95,0.99,840,1320,1320,1351,63.64,780.3
0.15,0.99,-1,802,1320,1320,1351,60.76,1211.8
0.15,0.99,0.5,846,1320,1320,1351,64.09,249.7
0.15,0.99,0.8,840,1320,1320,1351,63.64,535.1
0.15,0.99,0.9,831,1320,1320,1351,62.95,687.2
0.15,0.99,0.95,831,1320,1320,1351,62.95,682.0
0.15,0.99,0.99,844,1320,1320,1351,63.94,829.5
0.2,-1,-1,856,1320,1320,1351,64.85,1599.3
0.2,-1,0.5,835,1320,1320,1351,63.26,241.5
0.2,-1,0.8,826,1320,1320,1351,62.58,561.0
0.2,-1,0.9,823,1320,1320,1351,62.35,761.9
0.2,-1,0.95,823,1320,1320,1351,62.35,750.6
0.2,-1,0.99,837,1320,1320,1351,63.41,957.4
0.2,0.5,-1,655,1320,1320,1351,49.62,676.0
0.2,0.5,0.5,814,1320,1320,1351,61.67,200.0
0.2,0.5,0.8,794,1320,1320,1351,60.15,379.8
0.2,0.5,0.9,794,1320,1320,1351,60.15,356.0
0.2,0.5,0.95,784,1320,1320,1351,59.39,446.4
0.2,0.5,0.99,784,1320,1320,1351,59.39,448.3
0.2,0.8,-1,718,1320,1320,1351,54.39,864.0
0.2,0.8,0.5,834,1320,1320,1351,63.18,242.9
0.2,0.8,0.8,822,1320,1320,1351,62.27,444.7
0.2,0.8,0.9,813,1320,1320,1351,61.59,535.5
0.2,0.8,0.95,813,1320,1320,1351,61.59,534.0
0.2,0.8,0.99,816,1320,1320,1351,61.82,650.2
0.2,0.9,-1,735,1320,1320,1351,55.68,954.9
0.2,0.9,0.5,835,1320,1320,1351,63.26,252.2
0.2,0.9,0.8,824,1320,1320,1351,62.42,474.9
0.2,0.9,0.9,819,1320,1320,1351,62.05,582.0
0.2,0.9,0.95,819,1320,1320,1351,62.05,573.6
0.2,0.9,0.99,830,1320,1320,1351,62.88,695.4
0.2,0.95,-1,743,1320,1320,1351,56.29,1035.1
0.2,0.95,0.5,835,1320,1320,1351,63.26,228.3
0.2,0.95,0.8,824,1320,1320,1351,62.42,516.9
0.2,0.95,0.9,822,1320,1320,1351,62.27,651.5
0.2,0.95,0.95,822,1320,1320,1351,62.27,633.0
0.2,0.95,0.99,834,1320,1320,1351,63.18,744.6
0.2,0.99,-1,769,1320,1320,1351,58.26,1169.1
0.2,0.99,0.5,835,1320,1320,1351,63.26,247.5
0.2,0.99,0.8,826,1320,1320,1351,62.58,541.0
0.2,0.99,0.9,823,1320,1320,1351,62.35,693.3
0.2,0.99,0.95,823,1320,1320,1351,62.35,679.5
0.2,0.99,0.99,837,1320,1320,1351,63.41,840.3
0.3,-1,-1,843,1320,1320,1351,63.86,1580.3
0.3,-1,0.5,815,1320,1320,1351,61.74,242.9
0.3,-1,0.8,813,1320,1320,1351,61.59,556.3
0.3,-1,0.9,805,1320,1320,1351,60.98,738.3
0.3,-1,0.95,805,1320,1320,1351,60.98,752.7
0.3,-1,0.99,820,1320,1320,1351,62.12,958.2
0.3,0.5,-1,523,1320,1320,1351,39.62,667.1
0.3,0.5,0.5,799,1320,1320,1351,60.53,196.4
0.3,0.5,0.8,788,1320,1320,1351,59.7,374.0
0.3,0.5,0.9,788,1320,1320,1351,59.7,354.9
0.3,0.5,0.95,764,1320,1320,1351,57.88,444.6
0.3,0.5,0.99,764,1320,1320,1351,57.88,447.1
0.3,0.8,-1,608,1320,1320,1351,46.06,867.7
0.3,0.8,0.5,814,1320,1320,1351,61.67,244.3
0.3,0.8,0.8,809,1320,1320,1351,61.29,451.2
0.3,0.8,0.9,789,1320,1320,1351,59.77,544.1
0.3,0.8,0.95,789,1320,1320,1351,59.77,539.1
0.3,0.8,0.99,802,1320,1320,1351,60.76,647.1
0.3,0.9,-1,640,1320,1320,1351,48.48,995.1
0.3,0.9,0.5,815,1320,1320,1351,61.74,248.9
0.3,0.9,0.8,812,1320,1320,1351,61.52,477.8
0.3,0.9,0.9,797,1320,1320,1351,60.38,605.2
0.3,0.9,0.95,797,1320,1320,1351,60.38,581.6
0.3,0.9,0.99,816,1320,1320,1351,61.82,710.4
0.3,0.95,-1,661,1320,1320,1351,50.08,1024.8
0.3,0.95,0.5,815,1320,1320,1351,61.74,225.9
0.3,0.95,0.8,812,1320,1320,1351,61.52,523.9
0.3,0.95,0.9,801,1320,1320,1351,60.68,626.0
0.3,0.95,0.95,801,1320,1320,1351,60.68,618.7
0.3,0.95,0.99,818,1320,1320,1351,61.97,743.8
0.3,0.99,-1,701,1320,1320,1351,53.11,1200.4
0.3,0.99,0.5,815,1320,1320,1351,61.74,242.0
0.3,0.99,0.8,814,1320,1320,1351,61.67,531.7
0.3,0.99,0.9,803,1320,1320,1351,60.83,696.5
0.3,0.99,0.95,803,1320,1320,1351,60.83,680.2
0.3,0.99,0.99,820,1320,1320,1351,62.12,833.5
0.4,-1,-1,815,1320,1320,1351,61.74,1599.6
0.4,-1,0.5,803,1320,1320,1351,60.83,248.7
0.4,-1,0.8,800,1320,1320,1351,60.61,552.3
0.4,-1,0.9,783,1320,1320,1351,59.32,735.3
0.4,-1,0.95,783,1320,1320,1351,59.32,746.7
0.4,-1,0.99,800,1320,1320,1351,60.61,956.1
0.4,0.5,-1,383,1320,1320,1351,29.02,665.9
0.4,0.5,0.5,788,1320,1320,1351,59.7,198.4
0.4,0.5,0.8,775,1320,1320,1351,58.71,377.4
0.4,0.5,0.9,775,1320,1320,1351,58.71,364.1
0.4,0.5,0.95,744,1320,1320,1351,56.36,451.8
0.4,0.5,0.99,744,1320,1320,1351,56.36,438.5
0.4,0.8,-1,450,1320,1320,1351,34.09,876.8
0.4,0.8,0.5,804,1320,1320,1351,60.91,236.7
0.4,0.8,0.8,795,1320,1320,1351,60.23,447.5
0.4,0.8,0.9,767,1320,1320,1351,58.11,546.4
0.4,0.8,0.95,767,1320,1320,1351,58.11,541.6
0.4,0.8,0.99,784,1320,1320,1351,59.39,651.1
0.4,0.9,-1,493,1320,1320,1351,37.35,962.4
0.4,0.9,0.5,803,1320,1320,1351,60.83,252.8
0.4,0.9,0.8,796,1320,1320,1351,60.3,478.8
0.4,0.9,0.9,776,1320,1320,1351,58.79,586.7
0.4,0.9,0.95,776,1320,1320,1351,58.79,574.6
0.4,0.9,0.99,796,1320,1320,1351,60.3,693.0
0.4,0.95,-1,518,1320,1320,1351,39.24,1022.3
0.4,0.95,0.5,803,1320,1320,1351,60.83,229.6
0.4,0.95,0.8,797,1320,1320,1351,60.38,562.2
0.4,0.95,0.9,779,1320,1320,1351,59.02,1139.3
0.4,0.95,0.95,779,1320,1320,1351,59.02,635.2
0.4,0.95,0.99,797,1320,1320,1351,60.38,748.1
0.4,0.99,-1,590,1320,1320,1351,44.7,1175.0
0.4,0.99,0.5,803,1320,1320,1351,60.83,249.4
0.4,0.99,0.8,800,1320,1320,1351,60.61,525.6
0.4,0.99,0.9,782,1320,1320,1351,59.24,698.8
0.4,0.99,0.95,782,1320,1320,1351,59.24,701.2
0.4,0.99,0.99,800,1320,1320,1351,60.61,846.7
