binding_file,header,bound_symbols,gui_status,isis9_status,isis10_status,comparison,replacement_hint,isis9_paths,isis10_paths
src/base/bind_base_math.cpp,SurfaceModel.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,SurfaceModel.h,SurfaceModel.h
src/base/bind_base_pattern.cpp,AdaptiveGruen.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,AdaptiveGruen.h,AdaptiveGruen.h
src/base/bind_base_pattern.cpp,Affine.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,Affine.h,Affine.h
src/base/bind_base_pattern.cpp,AutoReg.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,AutoReg.h,AutoReg.h
src/base/bind_base_pattern.cpp,Centroid.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,Centroid.h,Centroid.h
src/base/bind_base_pattern.cpp,Chip.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,Chip.h,Chip.h
src/base/bind_base_pattern.cpp,Cube.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,changed_review_required,,Cube.h,Cube.h
src/base/bind_base_pattern.cpp,Gruen.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,Gruen.h,Gruen.h
src/base/bind_base_pattern.cpp,Interpolator.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,Interpolator.h,Interpolator.h
src/base/bind_base_pattern.cpp,MaximumCorrelation.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,MaximumCorrelation.h,MaximumCorrelation.h
src/base/bind_base_pattern.cpp,MinimumDifference.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,MinimumDifference.h,MinimumDifference.h
src/base/bind_base_pattern.cpp,Pvl.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,changed_review_required,,Pvl.h,Pvl.h
src/base/bind_base_pattern.cpp,PvlGroup.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,non_gui,present,present,identical_text,,PvlGroup.h,PvlGroup.h
src/base/bind_base_pattern.cpp,Statistics.h,AdaptiveGruen;AutoReg;Centroid;Chip;Gruen;MaximumCorrelation;MinimumDifference,qt_observer_review,present,present,identical_text,,Statistics.h,Statistics.h
src/base/bind_base_pds_io.cpp,ExportPdsTable.h,ExportPdsTable;ImportPdsTable,non_gui,present,present,identical_text,,ExportPdsTable.h,ExportPdsTable.h
src/base/bind_base_pds_io.cpp,ImportPdsTable.h,ExportPdsTable;ImportPdsTable,non_gui,present,present,identical_text,,ImportPdsTable.h,ImportPdsTable.h
src/base/bind_base_pds_io.cpp,PvlObject.h,ExportPdsTable;ImportPdsTable,non_gui,present,present,changed_review_required,,PvlObject.h,PvlObject.h
src/base/bind_base_pds_io.cpp,Table.h,ExportPdsTable;ImportPdsTable,non_gui,present,present,changed_review_required,,Table.h,Table.h
